Type,Sentence,Grammatical,Critical String,Region Start,Region End
<S_FG>,I know what the attempt to repair eventually damaged nevertheless,True,nevertheless,53,65
<S_XG>,I know that the attempt to repair the car eventually damaged nevertheless,False,nevertheless,61,73
<S_FX>,I know what the attempt to repair eventually damaged it nevertheless,False,it,53,55
<S_XX>,I know that the attempt to repair the car eventually damaged it nevertheless,True,it,61,63
<S_FG>,I know what the attempt to repair eventually damaged nonetheless,True,nonetheless,53,64
<S_XG>,I know that the attempt to repair the car eventually damaged nonetheless,False,nonetheless,61,72
<S_FX>,I know what the attempt to repair eventually damaged it nonetheless,False,it,53,55
<S_XX>,I know that the attempt to repair the car eventually damaged it nonetheless,True,it,61,63
<S_FG>,I know what the attempt to repair finally damaged nevertheless,True,nevertheless,50,62
<S_XG>,I know that the attempt to repair the car finally damaged nevertheless,False,nevertheless,58,70
<S_FX>,I know what the attempt to repair finally damaged it nevertheless,False,it,50,52
<S_XX>,I know that the attempt to repair the car finally damaged it nevertheless,True,it,58,60
<S_FG>,I know what the attempt to repair finally damaged nonetheless,True,nonetheless,50,61
<S_XG>,I know that the attempt to repair the car finally damaged nonetheless,False,nonetheless,58,69
<S_FX>,I know what the attempt to repair finally damaged it nonetheless,False,it,50,52
<S_XX>,I know that the attempt to repair the car finally damaged it nonetheless,True,it,58,60
<S_FG>,I know what the attempt to repair eventually damaged nevertheless,True,nevertheless,53,65
<S_XG>,I know that the attempt to repair the bike eventually damaged nevertheless,False,nevertheless,62,74
<S_FX>,I know what the attempt to repair eventually damaged it nevertheless,False,it,53,55
<S_XX>,I know that the attempt to repair the bike eventually damaged it nevertheless,True,it,62,64
<S_FG>,I know what the attempt to repair eventually damaged nonetheless,True,nonetheless,53,64
<S_XG>,I know that the attempt to repair the bike eventually damaged nonetheless,False,nonetheless,62,73
<S_FX>,I know what the attempt to repair eventually damaged it nonetheless,False,it,53,55
<S_XX>,I know that the attempt to repair the bike eventually damaged it nonetheless,True,it,62,64
<S_FG>,I know what the attempt to repair finally damaged nevertheless,True,nevertheless,50,62
<S_XG>,I know that the attempt to repair the bike finally damaged nevertheless,False,nevertheless,59,71
<S_FX>,I know what the attempt to repair finally damaged it nevertheless,False,it,50,52
<S_XX>,I know that the attempt to repair the bike finally damaged it nevertheless,True,it,59,61
<S_FG>,I know what the attempt to repair finally damaged nonetheless,True,nonetheless,50,61
<S_XG>,I know that the attempt to repair the bike finally damaged nonetheless,False,nonetheless,59,70
<S_FX>,I know what the attempt to repair finally damaged it nonetheless,False,it,50,52
<S_XX>,I know that the attempt to repair the bike finally damaged it nonetheless,True,it,59,61
<S_FG>,I know what the attempt to repair eventually damaged nevertheless,True,nevertheless,53,65
<S_XG>,I know that the attempt to repair the washing machine eventually damaged nevertheless,False,nevertheless,73,85
<S_FX>,I know what the attempt to repair eventually damaged it nevertheless,False,it,53,55
<S_XX>,I know that the attempt to repair the washing machine eventually damaged it nevertheless,True,it,73,75
<S_FG>,I know what the attempt to repair eventually damaged nonetheless,True,nonetheless,53,64
<S_XG>,I know that the attempt to repair the washing machine eventually damaged nonetheless,False,nonetheless,73,84
<S_FX>,I know what the attempt to repair eventually damaged it nonetheless,False,it,53,55
<S_XX>,I know that the attempt to repair the washing machine eventually damaged it nonetheless,True,it,73,75
<S_FG>,I know what the attempt to repair finally damaged nevertheless,True,nevertheless,50,62
<S_XG>,I know that the attempt to repair the washing machine finally damaged nevertheless,False,nevertheless,70,82
<S_FX>,I know what the attempt to repair finally damaged it nevertheless,False,it,50,52
<S_XX>,I know that the attempt to repair the washing machine finally damaged it nevertheless,True,it,70,72
<S_FG>,I know what the attempt to repair finally damaged nonetheless,True,nonetheless,50,61
<S_XG>,I know that the attempt to repair the washing machine finally damaged nonetheless,False,nonetheless,70,81
<S_FX>,I know what the attempt to repair finally damaged it nonetheless,False,it,50,52
<S_XX>,I know that the attempt to repair the washing machine finally damaged it nonetheless,True,it,70,72
<S_FG>,I know what the attempt to repair eventually damaged nevertheless,True,nevertheless,53,65
<S_XG>,I know that the attempt to repair the drier eventually damaged nevertheless,False,nevertheless,63,75
<S_FX>,I know what the attempt to repair eventually damaged it nevertheless,False,it,53,55
<S_XX>,I know that the attempt to repair the drier eventually damaged it nevertheless,True,it,63,65
<S_FG>,I know what the attempt to repair eventually damaged nonetheless,True,nonetheless,53,64
<S_XG>,I know that the attempt to repair the drier eventually damaged nonetheless,False,nonetheless,63,74
<S_FX>,I know what the attempt to repair eventually damaged it nonetheless,False,it,53,55
<S_XX>,I know that the attempt to repair the drier eventually damaged it nonetheless,True,it,63,65
<S_FG>,I know what the attempt to repair finally damaged nevertheless,True,nevertheless,50,62
<S_XG>,I know that the attempt to repair the drier finally damaged nevertheless,False,nevertheless,60,72
<S_FX>,I know what the attempt to repair finally damaged it nevertheless,False,it,50,52
<S_XX>,I know that the attempt to repair the drier finally damaged it nevertheless,True,it,60,62
<S_FG>,I know what the attempt to repair finally damaged nonetheless,True,nonetheless,50,61
<S_XG>,I know that the attempt to repair the drier finally damaged nonetheless,False,nonetheless,60,71
<S_FX>,I know what the attempt to repair finally damaged it nonetheless,False,it,50,52
<S_XX>,I know that the attempt to repair the drier finally damaged it nonetheless,True,it,60,62
<S_FG>,I know what the attempt to repair eventually damaged nevertheless,True,nevertheless,53,65
<S_XG>,I know that the attempt to repair the ceiling eventually damaged nevertheless,False,nevertheless,65,77
<S_FX>,I know what the attempt to repair eventually damaged it nevertheless,False,it,53,55
<S_XX>,I know that the attempt to repair the ceiling eventually damaged it nevertheless,True,it,65,67
<S_FG>,I know what the attempt to repair eventually damaged nonetheless,True,nonetheless,53,64
<S_XG>,I know that the attempt to repair the ceiling eventually damaged nonetheless,False,nonetheless,65,76
<S_FX>,I know what the attempt to repair eventually damaged it nonetheless,False,it,53,55
<S_XX>,I know that the attempt to repair the ceiling eventually damaged it nonetheless,True,it,65,67
<S_FG>,I know what the attempt to repair finally damaged nevertheless,True,nevertheless,50,62
<S_XG>,I know that the attempt to repair the ceiling finally damaged nevertheless,False,nevertheless,62,74
<S_FX>,I know what the attempt to repair finally damaged it nevertheless,False,it,50,52
<S_XX>,I know that the attempt to repair the ceiling finally damaged it nevertheless,True,it,62,64
<S_FG>,I know what the attempt to repair finally damaged nonetheless,True,nonetheless,50,61
<S_XG>,I know that the attempt to repair the ceiling finally damaged nonetheless,False,nonetheless,62,73
<S_FX>,I know what the attempt to repair finally damaged it nonetheless,False,it,50,52
